"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Belize","2000","Female","76",""
"Belize","2000","Both sexes","72",""
"Belize","1990","Male","69",""
"Belize","1990","Female","74",""
"Belize","1990","Both sexes","71",""
"Benin","2012","Male","57",""
"Benin","2012","Female","60",""
"Benin","2012","Both sexes","59",""
"Benin","2000","Male","53",""
"Benin","2000","Female","56",""
"Benin","2000","Both sexes","54",""
"Benin","1990","Male","51",""
"Benin","1990","Female","56",""
"Benin","1990","Both sexes","53",""
"Bhutan","2012","Male","68",""
"Bhutan","2012","Female","69",""
"Bhutan","2012","Both sexes","68",""
"Bhutan","2000","Male","60",""
"Bhutan","2000","Female","60",""
"Bhutan","2000","Both sexes","60",""
"Bhutan","1990","Male","53",""
"Bhutan","1990","Female","53",""
"Bhutan","1990","Both sexes","53",""
"Bolivia (Plurinational State of)","2012","Male","65",""
"Bolivia (Plurinational State of)","2012","Female","70",""
"Bolivia (Plurinational State of)","2012","Both sexes","68",""
"Bolivia (Plurinational State of)","2000","Male","61",""
"Bolivia (Plurinational State of)","2000","Female","65",""
"Bolivia (Plurinational State of)","2000","Both sexes","63",""
"Bolivia (Plurinational State of)","1990","Male","56",""
"Bolivia (Plurinational State of)","1990","Female","60",""
"Bolivia (Plurinational State of)","1990","Both sexes","58",""
"Bosnia and Herzegovina","2012","Male","75",""
"Bosnia and Herzegovina","2012","Female","80",""
"Bosnia and Herzegovina","2012","Both sexes","77",""
"Bosnia and Herzegovina","2000","Male","72",""
"Bosnia and Herzegovina","2000","Female","78",""
"Bosnia and Herzegovina","2000","Both sexes","75",""
"Bosnia and Herzegovina","1990","Male","70",""
"Bosnia and Herzegovina","1990","Female","75",""
"Bosnia and Herzegovina","1990","Both sexes","73",""
"Botswana","2012","Male","61",""
"Botswana","2012","Female","63",""
"Botswana","2012","Both sexes","62",""
"Botswana","2000","Male","48",""
"Botswana","2000","Female","47",""
"Botswana","2000","Both sexes","47",""
"Botswana","1990","Male","65",""
"Botswana","1990","Female","66",""
"Botswana","1990","Both sexes","65",""
"Brazil","2012","Male","70",""
"Brazil","2012","Female","77",""
"Brazil","2012","Both sexes","74",""
"Brazil","2000","Male","67",""
"Brazil","2000","Female","74",""
"Brazil","2000","Both sexes","71",""
"Brazil","1990","Male","63",""
"Brazil","1990","Female","70",""
"Brazil","1990","Both sexes","66",""
"Brunei Darussalam","2012","Male","76",""
"Brunei Darussalam","2012","Female","78",""
"Brunei Darussalam","2012","Both sexes","77",""
"Brunei Darussalam","2000","Male","74",""
"Brunei Darussalam","2000","Female","79",""
"Brunei Darussalam","2000","Both sexes","76",""
"Brunei Darussalam","1990","Male","71",""
"Brunei Darussalam","1990","Female","75",""
"Brunei Darussalam","1990","Both sexes","73",""
"Bulgaria","2012","Male","71",""
"Bulgaria","2012","Female","78",""
"Bulgaria","2012","Both sexes","74",""
"Bulgaria","2000","Male","68",""
"Bulgaria","2000","Female","75",""
"Bulgaria","2000","Both sexes","71",""
"Bulgaria","1990","Male","68",""
"Bulgaria","1990","Female","75",""
"Bulgaria","1990","Both sexes","71",""
"Burkina Faso","2012","Male","57",""
"Burkina Faso","2012","Female","59",""
"Burkina Faso","2012","Both sexes","58",""
"Burkina Faso","2000","Male","49",""
"Burkina Faso","2000","Female","50",""
"Burkina Faso","2000","Both sexes","49",""
"Burkina Faso","1990","Male","48",""
"Burkina Faso","1990","Female","51",""
"Burkina Faso","1990","Both sexes","50",""
"Burundi","2012","Male","54",""
"Burundi","2012","Female","57",""
"Burundi","2012","Both sexes","56",""
"Burundi","2000","Male","46",""
"Burundi","2000","Female","50",""
"Burundi","2000","Both sexes","48",""
"Burundi","1990","Male","48",""
"Burundi","1990","Female","51",""
"Burundi","1990","Both sexes","49",""
"Cabo Verde","2012","Male","71",""
"Cabo Verde","2012","Female","78",""
"Cabo Verde","2012","Both sexes","74",""
"Cabo Verde","2000","Male","66",""
"Cabo Verde","2000","Female","73",""
"Cabo Verde","2000","Both sexes","70",""
"Cabo Verde","1990","Male","63",""
"Cabo Verde","1990","Female","68",""
"Cabo Verde","1990","Both sexes","66",""
"Cambodia","2012","Male","70",""
"Cambodia","2012","Female","75",""
"Cambodia","2012","Both sexes","72",""
"Cambodia","2000","Male","58",""
"Cambodia","2000","Female","63",""
"Cambodia","2000","Both sexes","61",""
"Cambodia","1990","Male","51",""
"Cambodia","1990","Female","57",""
"Cambodia","1990","Both sexes","54",""
"Cameroon","2012","Male","55",""
"Cameroon","2012","Female","57",""
"Cameroon","2012","Both sexes","56",""
"Cameroon","2000","Male","50",""
"Cameroon","2000","Female","52",""
"Cameroon","2000","Both sexes","51",""
"Cameroon","1990","Male","53",""
"Cameroon","1990","Female","56",""
"Cameroon","1990","Both sexes","54",""
"Canada","2012","Male","80",""
"Canada","2012","Female","84",""
"Canada","2012","Both sexes","82",""
"Canada","2000","Male","77",""
"Canada","2000","Female","82",""
"Canada","2000","Both sexes","79",""
"Canada","1990","Male","74",""
"Canada","1990","Female","81",""
"Canada","1990","Both sexes","77",""
"Central African Republic","2012","Male","50",""
"Central African Republic","2012","Female","52",""
"Central African Republic","2012","Both sexes","51",""
"Central African Republic","2000","Male","44",""
"Central African Republic","2000","Female","46",""
"Central African Republic","2000","Both sexes","45",""
"Central African Republic","1990","Male","46",""
"Central African Republic","1990","Female","50",""
"Central African Republic","1990","Both sexes","48",""
"Chad","2012","Male","50",""
"Chad","2012","Female","52",""
"Chad","2012","Both sexes","51",""
"Chad","2000","Male","45",""
"Chad","2000","Female","47",""
"Chad","2000","Both sexes","46",""
"Chad","1990","Male","43",""
"Chad","1990","Female","47",""
"Chad","1990","Both sexes","45",""
"Chile","2012","Male","77",""
"Chile","2012","Female","83",""
"Chile","2012","Both sexes","80",""
"Chile","2000","Male","74",""
"Chile","2000","Female","80",""
"Chile","2000","Both sexes","77",""
"Chile","1990","Male","69",""
"Chile","1990","Female","76",""
"Chile","1990","Both sexes","73",""
"China","2012","Male","74",""
"China","2012","Female","77",""
"China","2012","Both sexes","75",""
"China","2000","Male","70",""
"China","2000","Female","73",""
"China","2000","Both sexes","71",""
"China","1990","Male","67",""
"China","1990","Female","71",""
"China","1990","Both sexes","69",""
"Colombia","2012","Male","76",""
"Colombia","2012","Female","83",""
"Colombia","2012","Both sexes","79",""
"Colombia","2000","Male","69",""
"Colombia","2000","Female","78",""
"Colombia","2000","Both sexes","74",""
"Colombia","1990","Male","67",""
"Colombia","1990","Female","75",""
"Colombia","1990","Both sexes","71",""
"Comoros","2012","Male","60",""
"Comoros","2012","Female","63",""
"Comoros","2012","Both sexes","62",""
"Comoros","2000","Male","57",""
"Comoros","2000","Female","60",""
"Comoros","2000","Both sexes","59",""
"Comoros","1990","Male","54",""
"Comoros","1990","Female","58",""
"Comoros","1990","Both sexes","56",""
"Congo","2012","Male","57",""
"Congo","2012","Female","60",""
"Congo","2012","Both sexes","59",""
"Congo","2000","Male","52",""
"Congo","2000","Female","53",""
"Congo","2000","Both sexes","52",""
"Congo","1990","Male","55",""
"Congo","1990","Female","58",""
"Congo","1990","Both sexes","56",""
"Cook Islands","2012","Male","73",""
"Cook Islands","2012","Female","78",""
"Cook Islands","2012","Both sexes","76",""
"Cook Islands","2000","Male","69",""
"Cook Islands","2000","Female","75",""
"Cook Islands","2000","Both sexes","72",""
"Cook Islands","1990","Male","67",""
"Cook Islands","1990","Female","72",""
"Cook Islands","1990","Both sexes","69",""
"Costa Rica","2012","Male","77",""
"Costa Rica","2012","Female","81",""
"Costa Rica","2012","Both sexes","79",""
"Costa Rica","2000","Male","76",""
"Costa Rica","2000","Female","79",""
"Costa Rica","2000","Both sexes","77",""
"Costa Rica","1990","Male","75",""
"Costa Rica","1990","Female","78",""
"Costa Rica","1990","Both sexes","77",""
"Côte d’Ivoire","2012","Male","52",""
"Côte d’Ivoire","2012","Female","54",""
"Côte d’Ivoire","2012","Both sexes","53",""
"Côte d’Ivoire","2000","Male","47",""
"Côte d’Ivoire","2000","Female","49",""
"Côte d’Ivoire","2000","Both sexes","48",""
"Côte d’Ivoire","1990","Male","50",""
"Côte d’Ivoire","1990","Female","54",""
"Côte d’Ivoire","1990","Both sexes","51",""
"Croatia","2012","Male","74",""
"Croatia","2012","Female","81",""
