"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Japan","2000","Both sexes","81",""
"Japan","1990","Male","76",""
"Japan","1990","Female","82",""
"Japan","1990","Both sexes","79",""
"Jordan","2012","Male","72",""
"Jordan","2012","Female","75",""
"Jordan","2012","Both sexes","74",""
"Jordan","2000","Male","70",""
"Jordan","2000","Female","73",""
"Jordan","2000","Both sexes","72",""
"Jordan","1990","Male","68",""
"Jordan","1990","Female","71",""
"Jordan","1990","Both sexes","70",""
"Kazakhstan","2012","Male","63",""
"Kazakhstan","2012","Female","72",""
"Kazakhstan","2012","Both sexes","68",""
"Kazakhstan","2000","Male","58",""
"Kazakhstan","2000","Female","68",""
"Kazakhstan","2000","Both sexes","63",""
"Kazakhstan","1990","Male","61",""
"Kazakhstan","1990","Female","70",""
"Kazakhstan","1990","Both sexes","66",""
"Kenya","2012","Male","59",""
"Kenya","2012","Female","62",""
"Kenya","2012","Both sexes","61",""
"Kenya","2000","Male","51",""
"Kenya","2000","Female","53",""
"Kenya","2000","Both sexes","52",""
"Kenya","1990","Male","58",""
"Kenya","1990","Female","62",""
"Kenya","1990","Both sexes","60",""
"Kiribati","2012","Male","64",""
"Kiribati","2012","Female","69",""
"Kiribati","2012","Both sexes","66",""
"Kiribati","2000","Male","61",""
"Kiribati","2000","Female","66",""
"Kiribati","2000","Both sexes","64",""
"Kiribati","1990","Male","57",""
"Kiribati","1990","Female","62",""
"Kiribati","1990","Both sexes","60",""
"Kuwait","2012","Male","78",""
"Kuwait","2012","Female","79",""
"Kuwait","2012","Both sexes","78",""
"Kuwait","2000","Male","74",""
"Kuwait","2000","Female","76",""
"Kuwait","2000","Both sexes","75",""
"Kuwait","1990","Male","73",""
"Kuwait","1990","Female","74",""
"Kuwait","1990","Both sexes","73",""
"Kyrgyzstan","2012","Male","66",""
"Kyrgyzstan","2012","Female","73",""
"Kyrgyzstan","2012","Both sexes","69",""
"Kyrgyzstan","2000","Male","62",""
"Kyrgyzstan","2000","Female","69",""
"Kyrgyzstan","2000","Both sexes","66",""
"Kyrgyzstan","1990","Male","62",""
"Kyrgyzstan","1990","Female","69",""
"Kyrgyzstan","1990","Both sexes","66",""
"Lao People's Democratic Republic","2012","Male","64",""
"Lao People's Democratic Republic","2012","Female","67",""
"Lao People's Democratic Republic","2012","Both sexes","66",""
"Lao People's Democratic Republic","2000","Male","58",""
"Lao People's Democratic Republic","2000","Female","61",""
"Lao People's Democratic Republic","2000","Both sexes","59",""
"Lao People's Democratic Republic","1990","Male","51",""
"Lao People's Democratic Republic","1990","Female","54",""
"Lao People's Democratic Republic","1990","Both sexes","53",""
"Latvia","2012","Male","69",""
"Latvia","2012","Female","79",""
"Latvia","2012","Both sexes","74",""
"Latvia","2000","Male","65",""
"Latvia","2000","Female","76",""
"Latvia","2000","Both sexes","70",""
"Latvia","1990","Male","64",""
"Latvia","1990","Female","74",""
"Latvia","1990","Both sexes","69",""
"Lebanon","2012","Male","78",""
"Lebanon","2012","Female","82",""
"Lebanon","2012","Both sexes","80",""
"Lebanon","2000","Male","73",""
"Lebanon","2000","Female","76",""
"Lebanon","2000","Both sexes","74",""
"Lebanon","1990","Male","64",""
"Lebanon","1990","Female","71",""
"Lebanon","1990","Both sexes","67",""
"Lesotho","2012","Male","49",""
"Lesotho","2012","Female","52",""
"Lesotho","2012","Both sexes","50",""
"Lesotho","2000","Male","47",""
"Lesotho","2000","Female","49",""
"Lesotho","2000","Both sexes","48",""
"Lesotho","1990","Male","59",""
"Lesotho","1990","Female","62",""
"Lesotho","1990","Both sexes","61",""
"Liberia","2012","Male","60",""
"Liberia","2012","Female","63",""
"Liberia","2012","Both sexes","62",""
"Liberia","2000","Male","50",""
"Liberia","2000","Female","52",""
"Liberia","2000","Both sexes","51",""
"Liberia","1990","Male","39",""
"Liberia","1990","Female","46",""
"Liberia","1990","Both sexes","42",""
"Libya","2012","Male","73",""
"Libya","2012","Female","77",""
"Libya","2012","Both sexes","75",""
"Libya","2000","Male","70",""
"Libya","2000","Female","74",""
"Libya","2000","Both sexes","72",""
"Libya","1990","Male","67",""
"Libya","1990","Female","70",""
"Libya","1990","Both sexes","68",""
"Lithuania","2012","Male","68",""
"Lithuania","2012","Female","80",""
"Lithuania","2012","Both sexes","74",""
"Lithuania","2000","Male","67",""
"Lithuania","2000","Female","78",""
"Lithuania","2000","Both sexes","72",""
"Lithuania","1990","Male","66",""
"Lithuania","1990","Female","76",""
"Lithuania","1990","Both sexes","71",""
"Luxembourg","2012","Male","80",""
"Luxembourg","2012","Female","84",""
"Luxembourg","2012","Both sexes","82",""
"Luxembourg","2000","Male","75",""
"Luxembourg","2000","Female","81",""
"Luxembourg","2000","Both sexes","78",""
"Luxembourg","1990","Male","72",""
"Luxembourg","1990","Female","79",""
"Luxembourg","1990","Both sexes","76",""
"Madagascar","2012","Male","62",""
"Madagascar","2012","Female","65",""
"Madagascar","2012","Both sexes","64",""
"Madagascar","2000","Male","57",""
"Madagascar","2000","Female","59",""
"Madagascar","2000","Both sexes","58",""
"Madagascar","1990","Male","50",""
"Madagascar","1990","Female","53",""
"Madagascar","1990","Both sexes","51",""
"Malawi","2012","Male","58",""
"Malawi","2012","Female","60",""
"Malawi","2012","Both sexes","59",""
"Malawi","2000","Male","45",""
"Malawi","2000","Female","44",""
"Malawi","2000","Both sexes","44",""
"Malawi","1990","Male","43",""
"Malawi","1990","Female","46",""
"Malawi","1990","Both sexes","45",""
"Malaysia","2012","Male","72",""
"Malaysia","2012","Female","76",""
"Malaysia","2012","Both sexes","74",""
"Malaysia","2000","Male","69",""
"Malaysia","2000","Female","74",""
"Malaysia","2000","Both sexes","71",""
"Malaysia","1990","Male","68",""
"Malaysia","1990","Female","73",""
"Malaysia","1990","Both sexes","71",""
"Maldives","2012","Male","76",""
"Maldives","2012","Female","78",""
"Maldives","2012","Both sexes","77",""
"Maldives","2000","Male","67",""
"Maldives","2000","Female","68",""
"Maldives","2000","Both sexes","68",""
"Maldives","1990","Male","60",""
"Maldives","1990","Female","57",""
"Maldives","1990","Both sexes","58",""
"Mali","2012","Male","57",""
"Mali","2012","Female","57",""
"Mali","2012","Both sexes","57",""
"Mali","2000","Male","48",""
"Mali","2000","Female","48",""
"Mali","2000","Both sexes","48",""
"Mali","1990","Male","46",""
"Mali","1990","Female","46",""
"Mali","1990","Both sexes","46",""
"Malta","2012","Male","79",""
"Malta","2012","Female","83",""
"Malta","2012","Both sexes","81",""
"Malta","2000","Male","76",""
"Malta","2000","Female","80",""
"Malta","2000","Both sexes","78",""
"Malta","1990","Male","74",""
"Malta","1990","Female","78",""
"Malta","1990","Both sexes","76",""
"Marshall Islands","2012","Male","68",""
"Marshall Islands","2012","Female","72",""
"Marshall Islands","2012","Both sexes","70",""
"Marshall Islands","2000","Male","64",""
"Marshall Islands","2000","Female","68",""
"Marshall Islands","2000","Both sexes","66",""
"Marshall Islands","1990","Male","61",""
"Marshall Islands","1990","Female","65",""
"Marshall Islands","1990","Both sexes","63",""
"Mauritania","2012","Male","61",""
"Mauritania","2012","Female","65",""
"Mauritania","2012","Both sexes","63",""
"Mauritania","2000","Male","59",""
"Mauritania","2000","Female","62",""
"Mauritania","2000","Both sexes","60",""
"Mauritania","1990","Male","57",""
"Mauritania","1990","Female","60",""
"Mauritania","1990","Both sexes","58",""
"Mauritius","2012","Male","70",""
"Mauritius","2012","Female","78",""
"Mauritius","2012","Both sexes","74",""
"Mauritius","2000","Male","68",""
"Mauritius","2000","Female","75",""
"Mauritius","2000","Both sexes","72",""
"Mauritius","1990","Male","66",""
"Mauritius","1990","Female","74",""
"Mauritius","1990","Both sexes","70",""
"Mexico","2012","Male","73",""
"Mexico","2012","Female","79",""
"Mexico","2012","Both sexes","76",""
"Mexico","2000","Male","72",""
"Mexico","2000","Female","77",""
"Mexico","2000","Both sexes","75",""
"Mexico","1990","Male","68",""
"Mexico","1990","Female","75",""
"Mexico","1990","Both sexes","71",""
"Micronesia (Federated States of)","2012","Male","68",""
"Micronesia (Federated States of)","2012","Female","70",""
"Micronesia (Federated States of)","2012","Both sexes","69",""
"Micronesia (Federated States of)","2000","Male","66",""
"Micronesia (Federated States of)","2000","Female","68",""
"Micronesia (Federated States of)","2000","Both sexes","67",""
"Micronesia (Federated States of)","1990","Male","65",""
"Micronesia (Federated States of)","1990","Female","67",""
"Micronesia (Federated States of)","1990","Both sexes","66",""
"Monaco","2012","Male","79",""
"Monaco","2012","Female","86",""
"Monaco","2012","Both sexes","82",""
"Monaco","2000","Male","76",""
"Monaco","2000","Female","84",""
"Monaco","2000","Both sexes","80",""
"Monaco","1990","Male","74",""
"Monaco","1990","Female","81",""
"Monaco","1990","Both sexes","78",""
"Mongolia","2012","Male","64",""
"Mongolia","2012","Female","72",""
"Mongolia","2012","Both sexes","67",""
"Mongolia","2000","Male","60",""
"Mongolia","2000","Female","66",""
"Mongolia","2000","Both sexes","63",""
"Mongolia","1990","Male","58",""
"Mongolia","1990","Female","64",""
"Mongolia","1990","Both sexes","61",""
"Montenegro","2012","Male","73",""
"Montenegro","2012","Female","78",""
"Montenegro","2012","Both sexes","76",""
"Montenegro","2000","Male","72",""
"Montenegro","2000","Female","77",""
"Montenegro","2000","Both sexes","75",""
"Montenegro","1990","Male","73",""
"Montenegro","1990","Female","79",""
"Montenegro","1990","Both sexes","76",""
"Morocco","2012","Male","69",""
"Morocco","2012","Female","73",""
"Morocco","2012","Both sexes","71",""
"Morocco","2000","Male","66",""
"Morocco","2000","Female","70",""
"Morocco","2000","Both sexes","68",""
"Morocco","1990","Male","63",""
"Morocco","1990","Female","66",""
"Morocco","1990","Both sexes","64",""
"Mozambique","2012","Male","52",""
"Mozambique","2012","Female","54",""
"Mozambique","2012","Both sexes","53",""
"Mozambique","2000","Male","46",""
"Mozambique","2000","Female","49",""
"Mozambique","2000","Both sexes","47",""
"Mozambique","1990","Male","41",""
"Mozambique","1990","Female","45",""
"Mozambique","1990","Both sexes","43",""
"Myanmar","2012","Male","64",""
"Myanmar","2012","Female","68",""
"Myanmar","2012","Both sexes","66",""
"Myanmar","2000","Male","60",""
"Myanmar","2000","Female","64",""
"Myanmar","2000","Both sexes","62",""
"Myanmar","1990","Male","57",""
"Myanmar","1990","Female","61",""
"Myanmar","1990","Both sexes","59",""
"Namibia","2012","Male","64",""
"Namibia","2012","Female","69",""
"Namibia","2012","Both sexes","67",""
"Namibia","2000","Male","57",""
"Namibia","2000","Female","57",""
"Namibia","2000","Both sexes","57",""
"Namibia","1990","Male","62",""
"Namibia","1990","Female","64",""
"Namibia","1990","Both sexes","63",""
"Nauru","2012","Male","75",""
"Nauru","2012","Female","83",""
"Nauru","2012","Both sexes","79",""
"Nauru","2000","Male","73",""
"Nauru","2000","Female","81",""
"Nauru","2000","Both sexes","77",""
"Nauru","1990","Male","69",""
"Nauru","1990","Female","77",""
"Nauru","1990","Both sexes","73",""
"Nepal","2012","Male","67",""
"Nepal","2012","Female","69",""
"Nepal","2012","Both sexes","68",""
"Nepal","2000","Male","61",""
"Nepal","2000","Female","63",""
"Nepal","2000","Both sexes","62",""
"Nepal","1990","Male","54",""
"Nepal","1990","Female","55",""
"Nepal","1990","Both sexes","54",""
"Netherlands","2012","Male","79",""
"Netherlands","2012","Female","83",""
"Netherlands","2012","Both sexes","81",""
"Netherlands","2000","Male","76",""
"Netherlands","2000","Female","81",""
"Netherlands","2000","Both sexes","78",""
"Netherlands","1990","Male","74",""
"Netherlands","1990","Female","80",""
"Netherlands","1990","Both sexes","77",""
"New Zealand","2012","Male","80",""
"New Zealand","2012","Female","84",""
"New Zealand","2012","Both sexes","82",""
"New Zealand","2000","Male","76",""
"New Zealand","2000","Female","81",""
"New Zealand","2000","Both sexes","79",""
"New Zealand","1990","Male","73",""
"New Zealand","1990","Female","78",""
"New Zealand","1990","Both sexes","76",""
"Nicaragua","2012","Male","70",""
"Nicaragua","2012","Female","76",""
"Nicaragua","2012","Both sexes","73",""
"Nicaragua","2000","Male","70",""
"Nicaragua","2000","Female","76",""
"Nicaragua","2000","Both sexes","73",""
"Nicaragua","1990","Male","68",""
"Nicaragua","1990","Female","74",""
"Nicaragua","1990","Both sexes","71",""
"Niger","2012","Male","59",""
"Niger","2012","Female","59",""
"Niger","2012","Both sexes","59",""
"Niger","2000","Male","50",""
"Niger","2000","Female","50",""
"Niger","2000","Both sexes","50",""
"Niger","1990","Male","43",""
"Niger","1990","Female","43",""
"Niger","1990","Both sexes","43",""
"Nigeria","2012","Male","53",""
"Nigeria","2012","Female","55",""
"Nigeria","2012","Both sexes","54",""
"Nigeria","2000","Male","47",""
"Nigeria","2000","Female","48",""
"Nigeria","2000","Both sexes","47",""
"Nigeria","1990","Male","45",""
"Nigeria","1990","Female","47",""
"Nigeria","1990","Both sexes","46",""
"Niue","2012","Male","72",""
"Niue","2012","Female","78",""
"Niue","2012","Both sexes","74",""
"Niue","2000","Male","70",""
"Niue","2000","Female","76",""
"Niue","2000","Both sexes","73",""
"Niue","1990","Male","69",""
"Niue","1990","Female","75",""
"Niue","1990","Both sexes","71",""
"Norway","2012","Male","80",""
"Norway","2012","Female","84",""
"Norway","2012","Both sexes","82",""
"Norway","2000","Male","76",""
"Norway","2000","Female","82",""
"Norway","2000","Both sexes","79",""
"Norway","1990","Male","74",""
"Norway","1990","Female","80",""
"Norway","1990","Both sexes","77",""
"Oman","2012","Male","74",""
"Oman","2012","Female","78",""
"Oman","2012","Both sexes","76",""
"Oman","2000","Male","71",""
"Oman","2000","Female","75",""
"Oman","2000","Both sexes","72",""
"Oman","1990","Male","66",""
"Oman","1990","Female","70",""
"Oman","1990","Both sexes","68",""
"Pakistan","2012","Male","64",""
"Pakistan","2012","Female","66",""
"Pakistan","2012","Both sexes","65",""
"Pakistan","2000","Male","62",""
"Pakistan","2000","Female","64",""
"Pakistan","2000","Both sexes","63",""
"Pakistan","1990","Male","59",""
"Pakistan","1990","Female","61",""
"Pakistan","1990","Both sexes","60",""
"Palau","2012","Male","71",""
"Palau","2012","Female","75",""
"Palau","2012","Both sexes","73",""
"Palau","2000","Male","68",""
"Palau","2000","Female","71",""
"Palau","2000","Both sexes","70",""
"Palau","1990","Male","65",""
"Palau","1990","Female","68",""
"Palau","1990","Both sexes","66",""
"Panama","2012","Male","74",""
"Panama","2012","Female","80",""
"Panama","2012","Both sexes","77",""
"Panama","2000","Male","74",""
"Panama","2000","Female","79",""
"Panama","2000","Both sexes","76",""
"Panama","1990","Male","72",""
"Panama","1990","Female","76",""
"Panama","1990","Both sexes","74",""
"Papua New Guinea","2012","Male","60",""
"Papua New Guinea","2012","Female","65",""
"Papua New Guinea","2012","Both sexes","62",""
"Papua New Guinea","2000","Male","56",""
"Papua New Guinea","2000","Female","61",""
"Papua New Guinea","2000","Both sexes","59",""
"Papua New Guinea","1990","Male","53",""
"Papua New Guinea","1990","Female","59",""
"Papua New Guinea","1990","Both sexes","56",""
"Paraguay","2012","Male","72",""
"Paraguay","2012","Female","78",""
"Paraguay","2012","Both sexes","75",""
"Paraguay","2000","Male","71",""
"Paraguay","2000","Female","77",""
"Paraguay","2000","Both sexes","74",""
"Paraguay","1990","Male","71",""
"Paraguay","1990","Female","76",""
"Paraguay","1990","Both sexes","73",""
"Peru","2012","Male","75",""
"Peru","2012","Female","79",""
"Peru","2012","Both sexes","77",""
"Peru","2000","Male","70",""
"Peru","2000","Female","74",""
"Peru","2000","Both sexes","72",""
"Peru","1990","Male","68",""
"Peru","1990","Female","72",""
"Peru","1990","Both sexes","70",""
"Philippines","2012","Male","65",""
"Philippines","2012","Female","72",""
"Philippines","2012","Both sexes","69",""
"Philippines","2000","Male","66",""
"Philippines","2000","Female","73",""
"Philippines","2000","Both sexes","69",""
"Philippines","1990","Male","63",""
"Philippines","1990","Female","70",""
"Philippines","1990","Both sexes","66",""
"Poland","2012","Male","73",""
"Poland","2012","Female","81",""
"Poland","2012","Both sexes","77",""
"Poland","2000","Male","70",""
"Poland","2000","Female","78",""
"Poland","2000","Both sexes","74",""
"Poland","1990","Male","67",""
"Poland","1990","Female","76",""
"Poland","1990","Both sexes","71",""
"Portugal","2012","Male","77",""
"Portugal","2012","Female","84",""
"Portugal","2012","Both sexes","81",""
"Portugal","2000","Male","73",""
"Portugal","2000","Female","80",""
"Portugal","2000","Both sexes","77",""
"Portugal","1990","Male","71",""
"Portugal","1990","Female","78",""
"Portugal","1990","Both sexes","74",""
"Qatar","2012","Male","79",""
"Qatar","2012","Female","80",""
"Qatar","2012","Both sexes","79",""
"Qatar","2000","Male","77",""
"Qatar","2000","Female","76",""
"Qatar","2000","Both sexes","77",""
"Qatar","1990","Male","74",""
"Qatar","1990","Female","76",""
"Qatar","1990","Both sexes","75",""
"Republic of Korea","2012","Male","78",""
"Republic of Korea","2012","Female","85",""
"Republic of Korea","2012","Both sexes","81",""
"Republic of Korea","2000","Male","73",""
"Republic of Korea","2000","Female","80",""
"Republic of Korea","2000","Both sexes","76",""
"Republic of Korea","1990","Male","68",""
"Republic of Korea","1990","Female","76",""
"Republic of Korea","1990","Both sexes","72",""
"Republic of Moldova","2012","Male","66",""
"Republic of Moldova","2012","Female","75",""
"Republic of Moldova","2012","Both sexes","71",""
"Republic of Moldova","2000","Male","64",""
"Republic of Moldova","2000","Female","71",""
"Republic of Moldova","2000","Both sexes","67",""
"Republic of Moldova","1990","Male","65",""
"Republic of Moldova","1990","Female","72",""
"Republic of Moldova","1990","Both sexes","68",""
"Romania","2012","Male","71",""
"Romania","2012","Female","78",""
"Romania","2012","Both sexes","74",""
"Romania","2000","Male","68",""
"Romania","2000","Female","75",""
"Romania","2000","Both sexes","71",""
"Romania","1990","Male","66",""
"Romania","1990","Female","73",""
"Romania","1990","Both sexes","70",""
"Russian Federation","2012","Male","63",""
"Russian Federation","2012","Female","75",""
"Russian Federation","2012","Both sexes","69",""
"Russian Federation","2000","Male","59",""
"Russian Federation","2000","Female","72",""
"Russian Federation","2000","Both sexes","65",""
"Russian Federation","1990","Male","63",""
"Russian Federation","1990","Female","74",""
"Russian Federation","1990","Both sexes","69",""
"Rwanda","2012","Male","63",""
"Rwanda","2012","Female","66",""
"Rwanda","2012","Both sexes","65",""
"Rwanda","2000","Male","46",""
"Rwanda","2000","Female","47",""
"Rwanda","2000","Both sexes","46",""
"Rwanda","1990","Male","46",""
"Rwanda","1990","Female","50",""
"Rwanda","1990","Both sexes","48",""
"Saint Kitts and Nevis","2012","Male","71",""
"Saint Kitts and Nevis","2012","Female","78",""
"Saint Kitts and Nevis","2012","Both sexes","74",""
"Saint Kitts and Nevis","2000","Male","68",""
"Saint Kitts and Nevis","2000","Female","74",""
"Saint Kitts and Nevis","2000","Both sexes","71",""
"Saint Kitts and Nevis","1990","Male","65",""
"Saint Kitts and Nevis","1990","Female","71",""
"Saint Kitts and Nevis","1990","Both sexes","68",""
"Saint Lucia","2012","Male","71",""
"Saint Lucia","2012","Female","79",""
"Saint Lucia","2012","Both sexes","75",""
"Saint Lucia","2000","Male","71",""
"Saint Lucia","2000","Female","77",""
"Saint Lucia","2000","Both sexes","74",""
"Saint Lucia","1990","Male","70",""
"Saint Lucia","1990","Female","74",""
"Saint Lucia","1990","Both sexes","72",""
"Saint Vincent and the Grenadines","2012","Male","72",""
"Saint Vincent and the Grenadines","2012","Female","76",""
"Saint Vincent and the Grenadines","2012","Both sexes","74",""
"Saint Vincent and the Grenadines","2000","Male","67",""
"Saint Vincent and the Grenadines","2000","Female","73",""
"Saint Vincent and the Grenadines","2000","Both sexes","70",""
"Saint Vincent and the Grenadines","1990","Male","69",""
"Saint Vincent and the Grenadines","1990","Female","75",""
"Saint Vincent and the Grenadines","1990","Both sexes","72",""
"Samoa","2012","Male","70",""
"Samoa","2012","Female","77",""
"Samoa","2012","Both sexes","73",""
"Samoa","2000","Male","67",""
"Samoa","2000","Female","74",""
"Samoa","2000","Both sexes","70",""
"Samoa","1990","Male","63",""
"Samoa","1990","Female","69",""
"Samoa","1990","Both sexes","66",""
"San Marino","2012","Male","82",""
"San Marino","2012","Female","84",""
"San Marino","2012","Both sexes","83",""
"San Marino","2000","Male","78",""
"San Marino","2000","Female","85",""
"San Marino","2000","Both sexes","82",""
"San Marino","1990","Male","76",""
"San Marino","1990","Female","83",""
"San Marino","1990","Both sexes","79",""
"Sao Tome and Principe","2012","Male","65",""
"Sao Tome and Principe","2012","Female","69",""
"Sao Tome and Principe","2012","Both sexes","67",""
"Sao Tome and Principe","2000","Male","61",""
"Sao Tome and Principe","2000","Female","65",""
"Sao Tome and Principe","2000","Both sexes","63",""
"Sao Tome and Principe","1990","Male","59",""
"Sao Tome and Principe","1990","Female","63",""
"Sao Tome and Principe","1990","Both sexes","61",""
"Saudi Arabia","2012","Male","74",""
"Saudi Arabia","2012","Female","78",""
"Saudi Arabia","2012","Both sexes","76",""
"Saudi Arabia","2000","Male","71",""
"Saudi Arabia","2000","Female","75",""
"Saudi Arabia","2000","Both sexes","73",""
"Saudi Arabia","1990","Male","67",""
"Saudi Arabia","1990","Female","71",""
"Saudi Arabia","1990","Both sexes","69",""
"Senegal","2012","Male","63",""
"Senegal","2012","Female","66",""
"Senegal","2012","Both sexes","64",""
"Senegal","2000","Male","56",""
"Senegal","2000","Female","59",""
"Senegal","2000","Both sexes","57",""
"Senegal","1990","Male","56",""
"Senegal","1990","Female","59",""
"Senegal","1990","Both sexes","57",""
"Serbia","2012","Male","72",""
"Serbia","2012","Female","77",""
"Serbia","2012","Both sexes","75",""
"Serbia","2000","Male","69",""
"Serbia","2000","Female","75",""
"Serbia","2000","Both sexes","72",""
"Serbia","1990","Male","69",""
"Serbia","1990","Female","75",""
"Serbia","1990","Both sexes","72",""
"Seychelles","2012","Male","69",""
"Seychelles","2012","Female","78",""
"Seychelles","2012","Both sexes","74",""
"Seychelles","2000","Male","67",""
"Seychelles","2000","Female","77",""
"Seychelles","2000","Both sexes","72",""
"Seychelles","1990","Male","64",""
"Seychelles","1990","Female","75",""
"Seychelles","1990","Both sexes","69",""
"Sierra Leone","2012","Male","45",""
"Sierra Leone","2012","Female","46",""
"Sierra Leone","2012","Both sexes","46",""
"Sierra Leone","2000","Male","38",""
"Sierra Leone","2000","Female","39",""
"Sierra Leone","2000","Both sexes","39",""
"Sierra Leone","1990","Male","38",""
"Sierra Leone","1990","Female","38",""
"Sierra Leone","1990","Both sexes","38",""
"Singapore","2012","Male","80",""
"Singapore","2012","Female","85",""
"Singapore","2012","Both sexes","83",""
"Singapore","2000","Male","76",""
"Singapore","2000","Female","81",""
"Singapore","2000","Both sexes","79",""
"Singapore","1990","Male","73",""
"Singapore","1990","Female","78",""
"Singapore","1990","Both sexes","75",""
"Slovakia","2012","Male","72",""
"Slovakia","2012","Female","80",""
"Slovakia","2012","Both sexes","76",""
"Slovakia","2000","Male","69",""
"Slovakia","2000","Female","77",""
"Slovakia","2000","Both sexes","73",""
"Slovakia","1990","Male","66",""
"Slovakia","1990","Female","75",""
"Slovakia","1990","Both sexes","71",""
"Slovenia","2012","Male","77",""
"Slovenia","2012","Female","83",""
"Slovenia","2012","Both sexes","80",""
"Slovenia","2000","Male","72",""
"Slovenia","2000","Female","80",""
"Slovenia","2000","Both sexes","76",""
"Slovenia","1990","Male","70",""
"Slovenia","1990","Female","78",""
"Slovenia","1990","Both sexes","74",""
"Solomon Islands","2012","Male","67",""
"Solomon Islands","2012","Female","70",""
"Solomon Islands","2012","Both sexes","69",""
"Solomon Islands","2000","Male","64",""
"Solomon Islands","2000","Female","67",""
"Solomon Islands","2000","Both sexes","65",""
"Solomon Islands","1990","Male","61",""
"Solomon Islands","1990","Female","63",""
"Solomon Islands","1990","Both sexes","62",""
"Somalia","2012","Male","51",""
"Somalia","2012","Female","55",""
"Somalia","2012","Both sexes","53",""
"Somalia","2000","Male","49",""
"Somalia","2000","Female","52",""
"Somalia","2000","Both sexes","50",""
"Somalia","1990","Male","45",""
"Somalia","1990","Female","50",""
"Somalia","1990","Both sexes","47",""
"South Africa","2012","Male","56",""
"South Africa","2012","Female","62",""
"South Africa","2012","Both sexes","59",""
"South Africa","2000","Male","55",""
"South Africa","2000","Female","62",""
"South Africa","2000","Both sexes","59",""
"South Africa","1990","Male","59",""
"South Africa","1990","Female","66",""
"South Africa","1990","Both sexes","62",""
"South Sudan","2012","Male","54",""
"South Sudan","2012","Female","56",""
"South Sudan","2012","Both sexes","55",""
"South Sudan","2000","Male","47",""
"South Sudan","2000","Female","50",""
"South Sudan","2000","Both sexes","49",""
"South Sudan","1990","Male","41",""
"South Sudan","1990","Female","44",""
"South Sudan","1990","Both sexes","42",""
"Spain","2012","Male","79",""
"Spain","2012","Female","85",""
"Spain","2012","Both sexes","82",""
"Spain","2000","Male","76",""
"Spain","2000","Female","83",""
"Spain","2000","Both sexes","79",""
"Spain","1990","Male","73",""
"Spain","1990","Female","81",""
"Spain","1990","Both sexes","77",""
"Sri Lanka","2012","Male","71",""
"Sri Lanka","2012","Female","78",""
"Sri Lanka","2012","Both sexes","75",""
"Sri Lanka","2000","Male","65",""
"Sri Lanka","2000","Female","75",""
"Sri Lanka","2000","Both sexes","70",""
"Sri Lanka","1990","Male","65",""
"Sri Lanka","1990","Female","75",""
"Sri Lanka","1990","Both sexes","69",""
"Sudan","2012","Male","61",""
"Sudan","2012","Female","65",""
"Sudan","2012","Both sexes","63",""
"Sudan","2000","Male","57",""
"Sudan","2000","Female","60",""
"Sudan","2000","Both sexes","58",""
"Sudan","1990","Male","54",""
"Sudan","1990","Female","57",""
"Sudan","1990","Both sexes","55",""
"Suriname","2012","Male","75",""
"Suriname","2012","Female","80",""
"Suriname","2012","Both sexes","77",""
"Suriname","2000","Male","71",""
"Suriname","2000","Female","77",""
"Suriname","2000","Both sexes","74",""
"Suriname","1990","Male","71",""
"Suriname","1990","Female","76",""
"Suriname","1990","Both sexes","73",""
"Swaziland","2012","Male","52",""
"Swaziland","2012","Female","55",""
"Swaziland","2012","Both sexes","54",""
"Swaziland","2000","Male","48",""
"Swaziland","2000","Female","49",""
"Swaziland","2000","Both sexes","48",""
"Swaziland","1990","Male","62",""
"Swaziland","1990","Female","61",""
"Swaziland","1990","Both sexes","61",""
"Sweden","2012","Male","80",""
"Sweden","2012","Female","84",""
"Sweden","2012","Both sexes","82",""
"Sweden","2000","Male","78",""
"Sweden","2000","Female","82",""
"Sweden","2000","Both sexes","80",""
"Sweden","1990","Male","75",""
"Sweden","1990","Female","81",""
"Sweden","1990","Both sexes","78",""
"Switzerland","2012","Male","81",""
"Switzerland","2012","Female","85",""
"Switzerland","2012","Both sexes","83",""
"Switzerland","2000","Male","77",""
"Switzerland","2000","Female","83",""
"Switzerland","2000","Both sexes","80",""
"Switzerland","1990","Male","74",""
"Switzerland","1990","Female","81",""
"Switzerland","1990","Both sexes","78",""
"Syrian Arab Republic","2012","Male","62",""
"Syrian Arab Republic","2012","Female","76",""
"Syrian Arab Republic","2012","Both sexes","68",""
"Syrian Arab Republic","2000","Male","72",""
"Syrian Arab Republic","2000","Female","75",""
"Syrian Arab Republic","2000","Both sexes","73",""
"Syrian Arab Republic","1990","Male","69",""
"Syrian Arab Republic","1990","Female","71",""
"Syrian Arab Republic","1990","Both sexes","70",""
"Tajikistan","2012","Male","67",""
"Tajikistan","2012","Female","69",""
"Tajikistan","2012","Both sexes","68",""
"Tajikistan","2000","Male","63",""
"Tajikistan","2000","Female","65",""
"Tajikistan","2000","Both sexes","64",""
"Tajikistan","1990","Male","62",""
"Tajikistan","1990","Female","65",""
"Tajikistan","1990","Both sexes","64",""
"Thailand","2012","Male","71",""
"Thailand","2012","Female","79",""
"Thailand","2012","Both sexes","75",""
"Thailand","2000","Male","66",""
"Thailand","2000","Female","75",""
"Thailand","2000","Both sexes","70",""
