"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17840","17060","16550","16640","17720","18980","19600","21440","23090","24520","26580","27780","28650","28810","31350","32130","34690","37820","40040","38310","39300","40870","40830","41430","41850","42450","43720","45730",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3670","3680","3930","4050","4230","4490","4770","4670","4670","5120","5390","5450","5800","5920","6390","6710","6630","6800","6920","6950","6980","7260","7390","7950","8200","8660","8770","9090",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17730","18490","19150","19420","20190","20950","21640","22640","23770","24930","26700","28140","28930","28610","29580","31140","33180","34870","35910","35350","36730","38320","38180","40040","40680","41100","42020","43720",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2340","2340","2400","2350","2360","2300","2370","2540","2640","2690","2790","2820","3000","3100","3160","3130","3300","3350","3520","3570","3590","3560","4140","4090","4210",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300","12070","11290","11510","12240","12560","12920","13550","14130","12640","11930","12560","12910","12830","12290","13470","12640","13110","12640","12720","13070","13710","14820","15420","16660","16440","16670","17010",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16990","17360","17980","18810","20240","19610","20840","22300","23360","23960","26220","27590","29090","30390","32180","33040","34700","35540","36190","34480","36170","36900","37430","38780","39860","40660","41640","43160",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5170","4190","2330","1650","1530","1600","1900","2310","2470","2590","2690","2820","3020","3470","3870","4410","5090","5850","6070","5990","6390","7100","7950","8380","9130","9350","9510","10120",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1290","1330","1390","1430","1480","1530","1590","1640","1690","1740","1820","1880","1970","2080","2230","2400","2510","2720","2800","2950","3300","3510","3830","3890","4110","4190","4490",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","870","870","900","910","940","960","1000","1020","1070","1100","1140","1220","1160","1190","1210","1260","1380","1410","1370","1440","1520","1620","1680","1730","1770","1920","2270",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","970","1000","1030","1020","1030","1040","1070","1080","1130","1180","1230","1160","1230","1330","1320","1330","1370","1440","1490","1560","1470","1540","1600","1590","1620","1630","1670",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970","1010","1020","1040","1080","1110","1240","1340","940","960","1040","1060","1070","1070","1110","1170","1220","1270","1290","1310","1370","1480","1450","1440","1530","1580","1660","1700",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690","700","950","1030","990","1040","1650","4380","4710","6170","5530","5520","7270","6630","8130","14190","23330","26790","28490","24800","19400","22230","24060","23160","22590","22130","20280","19380",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13590","14360","14720","14700","15240","15810","16370","17310","18100","18260","19650","21140","22610","23800","25150","25620","27990","28530","29940","29690","27600","25430","25450","26070","27020","26820","26910","27820",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4480","4780","4840","4750","4880","4990","5260","5590","6250","6750","7150","7040","7310","8160","8100","10160","10020","10730","11040","10020","10390","10760","10770","11250","12220","13130","13720","14410",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","3410","3570","3720","3860","4040","4120","4280","4470","4600","4760","4900","5000","5110","5270","5480","5790","6170","6330","6260","6380","6610","6850","7080","7330","7570","7760","8000",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1270","1430","1690","2050","2380","2600","2890","3040","3050","3260","3320","3430","3560","3620","3550","3940","4680","5100","5250","5400","5760","6110","6590","6860","7210","7490","7830","8120",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17760.0310262804","18576.1904591049","19334.8879657081","19927.2572368387","20890.5703688738","21733.0646239064","22724.0032278825","23823.7116717585","24691.9626761568","25664.4000658678","27339.3231784977","28214.5477410589","28967.0632407483","29953.795273179","31689.0603114865","33300.9576318319","35605.7260854885","37166.852618403","37946.5298543995","36959.9063266755","38493.2619826021","40164.7546807216","41377.3530573339","42743.8440584127","43973.3156847151","45105.3941962794","46053.3520113595","47657.0309233828",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16950","18260","19650","21870","23080","23800","23750","25380","24430","25210","27180","28160","28470","30560","33720","36630","40880","44670","47440","45250","48130","51450","52050","54550","56760","58120","60160","64100",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1880","1940","2020","2220","2190","2230","2290","2430","2480","2430","2560","2610","2670","2760","2920","3140","3360","3650","3780","3610","3710","3820","3920","4000","4090","4280","4420","4630",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","903.766400850961","894.373479289254","895.221069335162","907.046633198664","908.963467135639","939.425306698295","995.469212827825","1034.27265769027","1057.71007235769","1075.56487646213","1095.70025179005","1128.97994783022","1155.13631906343","1193.8338189129","1259.01521527521","1348.53358724261","1440.08259434497","1537.36102369414","1620.65896472876","1665.5548177089","1726.02181240359","1806.73939720355","1883.2047185644","1898.62389453334","2059.39000230407","2145.50331697104","2215.69212329524","2313.30743610554",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7860","8770","9370","9770","9550","10550","11110","12090","12700","13870","14550","16540","18400","19690","18820","18700","20180","20530","21340","21620","22580","22940","24700",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1310","1330","1360","1380","1370","1360","1370","1340","1380","1440","1510","1530","1560","1480","1570","1630","1690","1750","1770","1810","1830",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8290","8690","8870","9010","9320","9850","10270","11280","12570","13790","14730","15340","16100","17290","17690","19330","19620","20450","21670","22080","23730","24310","24680","25210","27220",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2740.74029039496","2838.01595232693","2921.15779768708","3103.37836670496","3230.09466917926","3385.54252064493","3578.10585212655","3775.96808257633","3845.45902094563","3997.43408619197","4288.10419140067","4508.75081533579","4734.85727530707","5057.19762049324","5550.82406711364","6093.45875086063","6826.77449336358","7604.68221484706","8228.799805513","8469.4464508289","9157.12134489471","9904.42388070196","10528.6389519594","11096.9166183756","11733.3714565024","12188.648728981","12786.2301259938","13602.0248196994",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2445.50481399768","2524.27911627635","2592.04852578425","2736.62777408706","2839.40262331843","2969.95684421766","3131.34526758775","3291.52648835091","3347.05533013622","3471.73485960587","3702.98012725746","3885.02974485831","4066.51935775825","4331.17170669472","4749.8650635938","5193.9050778107","5798.33622363463","6421.6976449702","6917.54743452536","7107.81822552789","7653.47707755351","8236.69490613164","8726.66463144333","9168.61503091435","9679.17149921729","10028.7002910876","10479.7255588483","11101.0147838452",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1254.44566927325","1270.69114866583","1291.67072021829","1299.74317759213","1325.29649832543","1378.28024075438","1439.82791980684","1476.03118710549","1501.07154657709","1546.76642942579","1581.79425657547","1652.20594222988","1703.16063102607","1796.08759310456","1991.26054408841","2133.08237555687","2342.12388870079","2491.91425621","2614.54163945328","2698.63109701078","2845.70770543501","2962.65218871824","3099.42508495044","3222.67870042022","3428.45406281517","3541.04102827474","3639.31523050239","3776.63834195678",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1869.6878970836","1908.15937053564","1944.66119574773","1926.62169327971","1974.13295072402","2053.49117364617","2138.86591223093","2165.35699206336","2177.96854143315","2244.70127401664","2257.40891417114","2357.25515662498","2426.08314803964","2581.79427369963","2975.82291125602","3160.74938020204","3518.72202087362","3693.63232846499","3829.88008416834","3927.18092774461","4159.02574984051","4339.55069028452","4531.91445064457","4737.74768703912","5021.56116771935","5187.29583140835","5273.20486069965","5395.89923574704",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840","3090","3310","3590","3920","4260","4610","4830","4070","4020","4300","4630","4880","5100","5390","5780","6240","6730","7220","7510","8040","8590","9160","9680","10180","10670","11240","11900",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928.949612509672","933.398271998721","946.61472839204","971.140378572324","985.506914727861","1025.60477847262","1075.85213860206","1119.11768371706","1152.38064536737","1187.95684158953","1237.32219473264","1293.82712791951","1337.08995039381","1398.32385086374","1488.89772256102","1610.90688599695","1743.11021357772","1882.39527248301","1999.93864965334","2078.17988758748","2180.73877678885","2267.28519699924","2375.47982477339","2455.20643126873","2621.12238080039","2705.94924301125","2811.95428652472","2960.41714190124",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120","1140","1210","1270","1360","1470","1580","1640","1730","1880","1960","2070","2140","2320","2530","2810","3110","3470","3620","3900","4270","4600","4860","5190","5610","6060","6500","7060",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12770","13420","13910","14620","15800","17300","18800","20440","22460","23560","26300","27810","29520","31240","33380","35020","38790","40440","38330","34690","36150","36960","37930","40840","43480","54230","59000","62440",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7390","8390","8690","8910","8740","9160","9420","9560","9790","9700","10400","10580","11400","12480","13180","13880","14880","16380","16570","16610","17580","18190","17050","17070","17880","17620","20010","21010",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7340","2650","3510","4600","4730","4780","5240","6180","8170","9420","9590","9740","8870","6000","9250","9840","10890","11090","12360","12240","12600","13250","14970","15690","15560","15930","17370","17010",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21490","22060","21620","22150","23080","23530","24510","26440","28130","28980","28670","30840","32660","32400","34340","35470","36310","38750","34050","33590","32200","34550","36690","42100","43500","46380","49550","53640",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14510","15350","16300","16920","18060","19220","20140","20710","21310","21630","23380","23900","24290","22940","24490","24600","25580","27460","26870","26830","28280","30160","30930","33470","33840","35580","36810","38060",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18330","19180","19730","20050","20890","22010","22740","23700","24790","25480","26920","27870","28510","28940","29410","30100","32460","34020","35080","34490","34970","36250","36190","36070","36070","36440","38470","40030",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4260","4540","4790","5600","5690","5930","6090","6080","5830","5920","6050","6150","6240","6570","6820","7040","7490","7760","7890","7450","7550","7840","8050","8110","8300","8350","8450","8690",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3850","3720","4350","4460","4580","4820","4850","5050","5210","5370","5800","6180","6450","6750","7420","8040","8660","9250","9510","9590","9210","9130","9010","8970","8980","8940","8980","9110",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19620","20880","21520","22020","22590","23610","24800","25460","25360","25630","27220","27910","28560","29380","30930","32350","33970","35540","35710","34000","35900","36790","38190","40280","40590","42270","43630","45470",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6980","6300","6000","6210","6500","6560","6770","7350","8660","9760","10720","11860","12920","14220","15590","15830","16370","17110","18210","19370","21250","22310","23550","22900","23440",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1490","1470","1430","1470","1550","1620","1620","1660","1670","1670","1730","1720","1750","1850","1980","2110","2250","2240","2270","2420","2560","2640","2750","2860","2990","3130","3250",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2100","1830","1580","1280","1210","1300","1410","1420","1450","1550","1690","1700","1840","1980","2030","2180","2420","2570","2640","2560","2610","2850","3040","3210","3310","3380","3620",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","820","850","870","960","1050","1140","1200","1310","1460","1670","1890","2120","2260","2240","2360","2530","2710","2940","3120","3290","3510","3760",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540","2060","2120","2070","2110","2240","1960","2370","2660","2410","2590","2730","2620","2520","2510","2530","2570","2490","2520","2400","2470","2340","2600","2980","3600","4340","3760","3850",
"St. Kitts and Nevis","KNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9060","9010","9400","10170","10810","11650","12260","13110","12820","13250","14840","15740","16100","15350","16410","18430","19390","19740","21150","20430","20110","20950","21070","22510","23990","25000","25640","26300",
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8260","9330","10020","10850","11970","13240","14370","15300","14410","16200","17950","19050","20690","21290","22900","24010","25730","27740","28650","28250","30410","31410","32430","32850","33690","35300","36730","38260",
"Kuwait","KWT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69680","69550","71470","71070","63440","65260","63310","62100","72300","82120","90620","97870","101140","96570","86320","79080","82080","84810","82500","81790","81000","83150","83310",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5457.33859438118","5736.45201744352","5880.38673210452","6485.08604848026","6772.03352222308","6866.78787647246","7034.97887600714","7374.67471790896","7431.50706984517","7476.2378686484","7886.38353484922","8024.59504476334","8150.29925898518","8273.48241632628","8897.17133935443","9496.09131378443","10212.0150120283","11023.6081958192","11594.9423269046","11469.2377350934","12196.694111835","12917.5826369817","13411.3351879807","13858.6922796474","14187.7186651181","14037.878601835","14040.0387334488","14378.821160083",
"Lao PDR","LAO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","1160","1210","1280","1380","1470","1570","1630","1680","1820","1890","2020","2140","2230","2440","2710","2890","3200","3420","3710","3870","4190","4590","5010","5470","5860","6270","6650",
"Lebanon","LBN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6190","7720","7750","8160","8800","9460","9880","9660","9940","9940","10120","10120","9710","8510","10320","10930","11440","13060","14230","15190","15910","15600","15260","14830","14390","14040","14050","14690",
"Liberia","LBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","340","410","400","540","470","480","310","330","380","430","490","530","580","590","680","670","720","710","720","700","710",
"Libya","LBY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17230","19700","20240","23050","25490","27300","28070","27770","29020","11210","24820","22180","17490","16450","15780","19940",
"St. Lucia","LCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6010","6130","6730","6790","7000","7140","7460","7430","7840","8100","8170","7950","8160","8490","9130","9320","10410","10610","11260","11610","11540","11950","11960","12520","12160","12440","12700","13230",
"Latin America & Caribbean","LCN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5578.45115025078","5925.3571448326","6164.16061552769","6766.71672740566","7084.86457252853","7180.85055609351","7403.0829883795","7794.42702440435","7894.53728655196","7916.08229350506","8304.07197312743","8412.47354632484","8418.70270009003","8616.66114336947","9298.63748609085","9978.96829929724","10797.3729128933","11690.2519487453","12272.6811323307","12068.199727703","12885.3979958654","13698.2048593337","14205.3955562594","14689.0496773562","14986.5150555547","14875.4187822901","14864.1322319381","15272.9853187059",
"Least developed countries: UN classification","LDC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815.418748092935","829.332173918122","815.089431258485","840.929020925736","850.957816334644","909.099970786559","952.831985366548","996.681969405079","1023.54740474485","1051.79921137728","1103.3886515573","1157.77605421319","1208.15840875793","1266.25224456725","1348.67703945931","1467.37753608598","1602.39887416822","1756.39939454976","1871.79873249385","1960.88299657481","2051.50948588175","2129.16484283255","2219.87986770311","2287.18559846131","2442.80131424833","2514.5765388403","2600.53951999315","2723.09965305199",
"Low income","LIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","907.015427242428","902.539569698768","883.069269634735","888.073632857785","890.177378854915","914.648126997814","959.155140969668","983.819611429537","1006.96952413765","1024.3406919077","1054.20228724549","1094.51816045532","1108.83048056228","1136.02047646881","1195.82389031869","1274.71899918219","1352.56545689063","1439.34534863712","1496.49373419007","1557.25881557652","1640.15183277548","1679.60980406162","1759.30453937741","1850.1841837003","1931.12796915649","1938.14579761174","1984.30970819939","2087.58362478111",
"Liechtenstein","LIE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2320","2470","2630","2850","3030","3210","3370","3630","3810","4000","4310","4310","4530","4890","5250","5700","6260","6840","7240","7600","8270","9100","9980","10350","10960","11500","12010","12470",
"Lower middle income","LMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1724.50704386008","1766.22554464457","1809.96558258517","1854.80606846964","1932.42081677452","2044.91565515835","2170.67226974385","2257.83121883891","2256.34348157915","2356.89038906536","2470.77689162774","2612.6827638561","2718.96430263521","2897.8983528848","3160.09114317192","3424.71821560886","3762.69143836829","4105.64513230974","4323.32682108319","4517.16420631188","4841.24761423078","5136.11625090873","5413.73884681622","5703.42327473589","6071.09100255647","6418.18125842328","6764.35004726075","7191.17136610585",
"Low & middle income","LMY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2364.00055794553","2431.65397374252","2487.61767482892","2624.54569328099","2717.27892002214","2845.29692622355","2997.33338703443","3145.43671813682","3193.65059499067","3320.84356600609","3549.07942558701","3732.93868998678","3923.91318444308","4182.11737227508","4590.52868392975","5022.30038049064","5609.30512860621","6215.11729829884","6699.55130299061","6899.87489793428","7427.1802413515","7991.67486317862","8479.21533237766","8915.17465895775","9430.5214222433","9780.09748604936","10237.7980971877","10848.2945596315",
"Lesotho","LSO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1480","1510","1510","1570","1590","1680","1730","1710","1760","1800","2140","2180","2270","2260","2260","2320","2710","2860","2830","2940","2960","3080","3100","3120","3210","3340","3510",
"Late-demographic dividend","LTE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2770.14060841559","2887.81891153075","2950.11960976374","3133.78586617391","3310.23524464846","3533.89895867156","3737.54606248068","3955.72388983685","4039.41912968058","4240.08627439862","4627.77374403226","4946.72559611948","5303.54363352009","5769.42249273794","6387.70047654669","7060.28994977565","8057.78032301904","9098.66977884733","10025.7152913745","10386.1362812478","11299.4276410074","12417.7867597387","13363.5995070327","14183.2490359512","15069.4074209199","15696.4669723437","16443.487560474","17494.9304827962",
"Lithuania","LTU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5910","6310","6930","7580","7640","8300","9330","10380","11770","12780","14330","16170","18370","20040","18480","19740","22020","23910","25970","27810","27610","28680","31030",
"Luxembourg","LUX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28830","32170","32890","33960","34220","37600","38900","41370","41810","46370","49170","50470","49830","49090","58830","63170","63630","72880","71800","55870","61980","64050","63710","63840","65770","67970","69640","72640",
"Latvia","LVA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5550","5830","6530","7120","7330","8010","9070","10090","10970","11970","13700","15360","17590","19180","18060","17800","19770","21110","22670","23790","24400","25530","27400",
"Macao SAR, China","MAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27560","31220","32650","33950","34660","33810","33520","31450","29900","30870","34410","37090","40560","49750","53620","58810","74960","69530","70380","85790","101000","107980","117970","118020","98320","96570","",
"St. Martin (French part)","MAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2460","2670","2630","2610","2920","2760","3140","3100","3340","3390","3480","3780","3930","4200","4490","4750","5200","5480","5850","6000","6230","6580","6780","7140","7300","7670","7710","8062.65426059905",
"Monaco","MCO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1870","1880","1940","1830","1790","1870","2130","2340","2680","2990","3300","3570","3700","4090","3730","4150","4520","4700","5210","5540","5410","5720","6060",
"Madagascar","MDG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","940","960","980","960","970","990","1020","1050","1090","1120","1190","1020","1110","1160","1220","1280","1370","1460","1360","1340","1350","1350","1370","1400","1410","1440","1510",
