"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54730","56690","59030","58950","60430","62790","64150","62780","61690","63140","65030","66960","69250","71340","72410","73870","78400","80020","78980","77340","78340","80220","81500","80920","80080","83440","83090","83760",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1410","1480","1590","1780","1850","2000","2170","2100","2190","2800","3020","3250","3450","3650","3970","4310","5060","5230","5440","5940","6380","6600","6820","7230","7520","8160","8850",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5100","5750","5960","6310","5760","6450","6490","7150","7540","7660","7750","8120","7710","8430","8660","9450","10480","11580","12320","11820","12500","13790","14550","15710","16410","16090","16690","16990",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","590","550","550","570","610","580","610","630","650","640","670","690","660","700","720","760","800","820","830","870","910","960","620","630","660","690","730",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380","19390","19710","20530","21660","22550","23110","24310","25240","26720","28420","29220","30070","31390","33020","35390","37400","38860","39680","38120","39230","40780","41400","43430","44780","43960","44230","45750",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6321.40083647106","6621.51765298958","7123.43551800518","7642.64885363662","8149.85126545457","8535.9015720638","8925.99326979048","9207.35421439523","9865.68315455253","10640.9634827163","11421.880892002","12056.9946970479","12995.7529807292","13901.8936576247","15354.7102064532","16965.3632752962","18947.4527187431","19033.7344199208","20007.6005386224","21338.7266018995","22231.1583768013","23269.5765448489","24175.6669520771","24919.1778964529","25864.1974046718","27926.7534516015",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28170","28510","28740","29260","29770","30590","31360","33260","34520","35750","38080","38270","38730","40140","41610","43910","48360","49850","48960","52630","56090","56460","58880","61380","62170","65210","64480","65910",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4690","5390","5910","6280","7090","7770","8390","8810","8740","9240","9660","9940","10190","10860","11660","13850","15070","15270","15110","16970","19190","20580","21590","22210","22060","22540","23150",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1270","1460","1670","1840","2040","2250","2420","2630","2900","3180","3520","3940","4440","5060","5870","6880","7680","8360","9290","10290","11320","12270","13460","14400","15480","16760",
